2025,2024,university_name,Overall,Teaching,Satisfied with feedback,Student to staff ratio,Spend per student/10,Average entry tariff,Value added score/10,Career after 15 months,Continuation
96,78,York St John University,49.9,86.3,83.3,17.7,3.8,121,5.3,76,88.3
96,92,Edinburgh Napier University,49.9,85.2,79.4,21.4,3.9,159,6.5,84,90
98,102,Anglia Ruskin University (ARU),49.4,84.4,80.1,18.8,8.2,116,5.8,75,87.1
99,68,University of Suffolk,49.1,90.7,88.6,13.1,6.9,112,4.9,82,87.6
100,90,Arts University Bournemouth,48.6,83,78.6,14.4,3.6,146,3.1,65,92.7
100,104,University of Gloucestershire,48.6,82.3,79.8,15.4,5.7,121,2.3,78,89.7
102,103,Leeds Beckett University,48.3,85.2,82.1,17.5,3.8,124,5.2,76,87.3
102,95,Birmingham City University,48.3,82.2,79.8,17.1,4.9,132,2.8,77,90.5
104,106,University of Central Lancashire,48.1,85,82.5,15.6,3.6,131,4.2,79,86.7
105,99,Bournemouth university ,47.4,79.5,77.3,18.3,3.4,119,5.6,81,89.9
105,97,Leeds Trinity University,47.4,89.4,88.1,18.1,3.9,110,4.3,78,87.8
107,120,Canterbury Christ Church University,47.3,84,81.3,16.2,4,109,5.4,79,86
108,94,Bath Spa University,47.2,84.1,81,19.6,3.2,123,6.3,72,91.3
109,111,"Goldsmiths, University of London",46.9,83,70.8,13.4,4.6,131,7.3,74,85
110,111,University of Roehampton,46.6,83,81.3,17.9,7,109,4.4,68,87.9
111,109,University of Wrexham,46.5,90.1,87.7,22.4,4.2,128,3.3,75,80.4
112,107,University of Worcester,45.5,84.9,76.8,17.2,4.7,129,3.8,83,88.1
113,115,Middlesex Univerisity,43.9,85.1,83,15.8,6.2,115,4.7,75,82.5
113,107,University of Northampton,43.9,83.6,76.8,17.4,2.5,117,4.5,75,87.8
115,109,University of Winchester,42.8,82.6,79.3,18.1,2.7,125,4.5,75,89.1
116,114,University of Cumbria,41.8,79.9,74.4,18.1,4.4,126,4.6,79,88.6
117,116,University of Greenwich,41.2,83.2,79.4,20.9,3.7,123,4.9,77,85.8
118,117,De Montfort University,41.1,80.9,78.3,18.3,3.3,114,4.9,76,87.4
119,117,University of Westminster,39.6,80.2,77.9,19.6,4.6,116,4.9,69,89.2
120,121,Brunel University of London,37.6,79.6,76.1,18.2,6.3,125,2.6,77,89.6
121,119,University of West of Scotland,37.4,86.8,80.4,22.4,3.1,145,5.9,77,81.9
122,122,Universtiy of Bedfordshire,29,85.2,79,24.5,3.2,108,3.3,71,81.2
